"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"601","X2610507B11Rik",0,0,0,0
"602","Ier5",0,1,0,0
"603","Snx18",1,0,1,1
"604","Arpc2",0,1,0,1
"605","Pcdhb11",0,0,0,0
"606","Eif4g1",0,0,0,0
"607","Ago2",0,0,0,0
"608","Parp6",0,0,0,0
"609","Il17d",0,0,0,0
"610","Camk4",1,1,1,1
"611","B4galnt1",0,0,0,0
"612","Larp6",0,0,0,0
"613","Taf1",0,0,0,0
"614","Ddost",1,0,0,0
"615","Hsp90ab1",0,0,0,0
"616","Ddx5",0,0,0,0
"617","Ndufv3",0,0,0,0
"618","Casp2",0,0,0,0
"619","Prmt1",0,0,0,0
"620","Kcnv1",0,0,0,0
"621","Sec61g",0,0,0,0
"622","Bmyc",0,0,0,0
"623","Prdx3",0,0,0,0
"624","Gid4",0,0,0,0
"625","Rrp9",0,0,0,0
"626","Zfand3",0,0,0,0
"627","Bcan",0,0,1,1
"628","Supt6",0,0,0,1
"629","Wbp11",0,0,0,0
"630","Ppil4",0,0,0,0
"631","Cnp",0,0,0,0
"632","Chd6",0,0,0,0
"633","Uqcrc1",0,0,0,0
"634","Zfp644",0,0,0,0
"635","Baalc",1,0,0,0
"636","Fam107b",0,0,0,0
"637","Slc39a7",0,0,0,0
"638","Pabpn1",0,0,0,0
"639","Atl2",0,0,0,0
"640","Lrrc7",0,0,0,0
"641","Cgrrf1",0,0,0,0
"642","St8sia5",0,0,0,0
"643","Evi5",0,0,0,1
"644","Pcyt1b",0,0,0,0
"645","Tfcp2l1",0,0,0,0
"646","Otud7b",0,0,0,0
"647","Lsm4",0,0,0,0
"648","Psmd10",0,0,0,0
"649","Tbrg4",0,0,0,0
"650","Ptpn23",0,0,0,0
"651","Bcl2l12",0,0,0,0
"652","Jmjd8",0,0,0,0
"653","Ptpmt1",0,0,0,0
"654","Dnajc28",0,0,0,0
"655","Rpf2",0,0,0,0
"656","Ret",0,0,0,0
"657","Gtf2f1",0,0,0,1
"658","Gdi1",0,0,0,1
"659","Mycbp",0,0,0,0
"660","Eid2",0,0,0,0
"661","Apoo",0,0,0,0
"662","Cdc5l",0,0,0,1
"663","Wdr35",0,0,0,0
"664","Skp1a",0,0,0,0
"665","Sfxn5",1,0,0,0
"666","Aggf1",0,0,0,0
"667","Rab10",0,0,0,0
"668","Polr1d",0,0,0,0
"669","Lpgat1",0,0,0,0
"670","Ipcef1",0,0,0,1
"671","Rab3gap2",0,0,0,0
"672","Cyhr1",0,0,0,0
"673","Lrp10",0,0,0,0
"674","Penk",1,1,1,1
"675","Cacna1a",0,0,0,0
"676","Atxn2l",0,1,0,0
"677","Lemd3",0,0,0,0
"678","Osbpl9",0,0,0,0
"679","Mgat1",0,0,0,0
"680","Ankrd34a",0,0,0,0
"681","Lnp",0,0,0,0
"682","Zfp287",0,0,0,0
"683","Tmtc4",0,0,0,0
"684","Gspt1",0,0,0,0
"685","Tspan17",0,0,0,0
"686","Mrpl42",0,0,0,0
"687","Flna",0,0,0,0
"688","Sfpq",0,0,0,0
"689","Grcc10",0,0,0,0
"690","Tmbim4",0,0,0,0
"691","Wdr13",0,1,0,0
"692","Tceb2",0,0,0,0
"693","Gart",0,0,0,0
"694","Akap12",1,0,1,1
"695","Riok3",0,0,0,0
"696","Atp11c",0,0,0,0
"697","Acap2",0,0,0,0
"698","Kat6b",0,1,0,1
"699","Impact",0,0,0,0
"700","Atp6v1c1",0,0,0,0
"701","Bend6",0,0,0,0
"702","Rsl1d1",0,0,0,0
"703","Timm44",0,0,0,0
"704","Rspo3",0,0,0,0
"705","Pskh1",0,0,0,0
"706","Timm10",0,0,0,0
"707","Frzb",1,1,1,1
"708","Rapgefl1",0,0,0,0
"709","Cxcl14",0,0,0,0
"710","Synj2bp",0,0,0,0
"711","Srgap2",0,0,0,0
"712","Ccdc30",1,0,0,0
"713","Cep97",0,0,0,0
"714","Tnpo3",0,0,0,0
"715","B3gat2",0,0,0,0
"716","X2900097C17Rik",1,0,1,1
"717","Ccnl2",0,0,0,0
"718","Gabpa",0,0,0,0
"719","Hspa5",0,0,0,0
"720","Svip",0,0,0,0
"721","Itm2c",0,0,0,0
"722","Cic",0,0,0,0
"723","Dnajc8",0,0,0,0
"724","Atxn2",0,1,0,0
"725","Susd3",0,0,0,0
"726","Luc7l2",0,0,0,0
"727","Pi4ka",0,0,0,1
"728","Exoc7",0,0,0,0
"729","Rnf11",0,0,0,0
"730","Lrba",0,0,0,0
"731","Eef1a2",0,0,1,1
"732","Trim9",1,1,1,1
"733","Asic1",0,0,0,0
"734","Strn3",0,0,0,0
"735","Zfp804a",0,0,0,1
"736","Cited2",0,0,0,0
"737","X6330403K07Rik",0,0,0,0
"738","Cbln4",0,0,1,1
"739","Nt5m",0,0,0,0
"740","Mpped2",0,0,0,0
"741","Map1a",0,0,0,1
"742","Ap3d1",0,1,0,0
"743","Klhl9",0,0,0,0
"744","Lace1",0,0,0,0
"745","Trpc3",0,0,0,0
"746","Eef2",0,1,0,0
"747","Chn1",0,0,0,0
"748","Tmem40",0,0,0,0
"749","Mll5",0,0,0,1
"750","Zfp354c",0,0,0,0
"751","Hapln1",1,0,1,1
"752","Vegfa",0,0,1,0
"753","X2410006H16Rik",0,0,0,0
"754","Snx12",0,0,0,0
"755","E330013P04Rik",0,0,0,0
"756","Ptbp2",0,0,0,0
"757","Bckdhb",0,0,0,0
"758","C1qbp",0,0,0,0
"759","Tmem33",0,0,0,0
"760","Nfasc",0,0,0,0
"761","Ints1",0,0,0,0
"762","Arntl",1,0,0,0
"763","AI593442",1,0,1,1
"764","Ciapin1",0,0,0,0
"765","Pithd1",1,0,0,1
"766","Mtor",0,0,0,0
"767","Tmem97",0,0,0,0
"768","Chchd7",0,0,0,0
"769","Efnb3",0,0,0,0
"770","Bloc1s1",0,0,0,0
"771","Pcna",0,0,0,0
"772","Cflar",0,0,0,0
"773","Fam120a",0,0,0,0
"774","Ndufa12",0,0,0,0
"775","Zcchc2",0,0,0,0
"776","Ndufa8",1,1,0,0
"777","Mcts1",0,0,0,0
"778","Bicd2",0,0,0,0
"779","Bcl11b",0,0,1,1
"780","Aspn",0,0,0,0
"781","Slc24a2",0,0,0,0
"782","Cul9",0,0,0,0
"783","Qdpr",0,0,0,0
"784","Itga3",0,0,0,0
"785","Kcnh3",1,1,1,1
"786","Naa60",0,0,0,0
"787","Prps1l3",0,0,0,0
"788","X4921524J17Rik",1,0,0,0
"789","Tmem151a",0,0,0,0
"790","Scrg1",1,0,0,1
"791","Rapgef1",0,0,0,0
"792","Tspan3",1,0,1,1
"793","Nrbp1",0,0,0,0
"794","Spop",0,0,0,0
"795","Cers2",0,0,0,0
"796","Tspyl4",0,1,0,0
"797","Calu",0,0,0,0
"798","Lyrm2",0,0,0,0
"799","Kcna2",0,0,1,0
"800","Slmap",0,0,0,0
"801","Luzp2",0,1,0,1
"802","Smg5",0,0,0,0
"803","Sod2",0,0,0,0
"804","Acads",0,0,0,0
"805","Slc35b1",0,0,0,0
"806","Iqcb1",0,0,0,0
"807","Smarcd3",0,0,0,0
