"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"548","TCEAL8",0,0,0,1
"549","PAK2",0,0,0,1
"550","RPL24",0,0,0,0
"551","RNF166",0,0,0,1
"552","ARID4B",0,0,0,1
"553","RAD23B",0,0,0,1
"554","C1R",0,0,1,1
"555","HSPA1B",0,0,0,1
"556","CISD3",1,0,1,1
"557","ST6GALNAC4",0,0,0,0
"558","DPY19L3",0,0,0,0
"559","ENPP5",0,0,0,1
"560","TOMM7",0,0,0,1
"561","ZFAND3",0,0,0,1
"562","CASZ1",0,0,0,0
"563","SHROOM3",0,0,0,0
"564","CCND2",0,0,0,1
"565","RPL32",0,0,0,1
"566","HNRNPR",0,0,0,1
"567","TBCA",0,0,0,1
"568","MAP1LC3A",0,0,0,0
"569","YDJC",0,0,0,1
"570","COA6",0,0,0,1
"571","MOGS",0,0,0,1
"572","MDM4",0,0,0,1
"573","CREB3L1",0,0,0,0
"574","SEPHS1",0,0,0,0
"575","EIF4G3",0,0,0,1
"576","USP33",0,0,0,0
"577","PER3",0,0,0,0
"578","GIT1",0,0,0,1
"579","SERTAD3",0,0,0,1
"580","FLNA",0,0,0,0
"581","TOMM40",0,0,0,1
"582","ING2",0,0,0,0
"583","ZBTB40",0,0,0,0
"584","FGFR1",0,0,0,0
"585","STAM",0,0,0,0
"586","AHNAK",0,0,0,0
"587","DDR1",1,0,0,1
"588","OSBP",0,0,0,1
"589","ATP5E",0,0,0,0
"590","SEC13",0,0,0,1
"591","ZNF532",0,0,0,0
"592","FIS1",0,0,0,0
"593","TP53INP2",1,0,1,1
"594","PSMG3",0,0,0,0
"595","KPNA3",0,0,0,1
"596","SYK",0,0,0,0
"597","CBWD7",1,0,0,1
"598","SNX7",0,0,0,1
"599","PIGT",0,0,1,0
"600","SPOPL",1,0,0,1
"601","CUEDC2",0,0,0,1
"602","SMC1A",0,0,0,0
"603","TOM1",0,0,0,0
"604","DUSP22",0,0,0,0
"605","TOM1L2",0,0,0,0
"606","SPRED2",0,0,0,1
"607","AP5Z1",0,0,0,0
"608","CCDC176",0,0,0,0
"609","VAV3",0,0,0,1
"610","RPN1",0,0,0,0
"611","TUBA1A",0,0,0,0
"612","COX7C",0,0,0,1
"613","CTNNAL1",0,0,0,0
"614","COA3",0,0,0,0
"615","CDC42",0,0,0,0
"616","MRPL12",0,0,0,1
"617","ADI1",1,0,0,1
"618","ACVR1B",0,0,0,0
"619","UBP1",0,0,0,1
"620","RNF11",0,0,0,1
"621","NEBL",0,0,0,1
"622","RARRES3",0,0,0,0
"623","PRKAR2A",0,0,0,0
"624","PSMD1",0,0,0,1
"625","SAFB2",0,0,0,1
"626","ALDH18A1",0,0,0,1
"627","RALGPS1",0,0,0,0
"628","SLC11A2",0,0,0,1
"629","SCAND1",1,0,1,1
"630","HLA.B",1,0,1,1
"631","EIF1",0,0,0,0
"632","GRINA",1,0,1,1
"633","KPNB1",0,0,0,1
"634","HNRNPL",0,0,0,0
"635","BLVRB",1,0,1,0
"636","DAXX",0,0,0,0
"637","PRKAR1B",0,0,0,0
"638","FAM213A",0,0,0,1
"639","CD2BP2",0,0,0,0
"640","HGS",0,0,0,0
"641","SSR1",0,0,0,1
"642","RAE1",1,0,0,1
"643","PRMT1",0,0,0,1
"644","GHITM",0,0,0,0
"645","AQP1",0,0,0,1
"646","COL18A1",0,0,0,0
"647","COL6A1",0,0,1,1
"648","MGST3",0,0,1,1
"649","ADAM28",0,0,0,0
"650","SPC24",0,0,0,0
"651","MAP2K2",0,0,0,0
"652","NPLOC4",0,0,0,0
"653","TIMM10",0,0,0,1
"654","HCCS",0,0,0,1
"655","CLEC7A",0,0,0,0
"656","FANCL",0,0,0,0
"657","TSTD1",0,0,0,0
"658","RAD51",0,0,0,0
"659","SSR4",1,0,1,1
"660","B4GALT5",0,0,0,1
"661","MMP14",0,0,1,1
"662","CLDN4",0,0,0,1
"663","GLUD1",0,0,0,1
"664","TAOK1",0,0,0,1
"665","HMGXB3",0,0,0,0
"666","ZFP36",0,0,0,1
"667","ADGRV1",0,0,0,0
"668","STK38L",0,0,0,1
"669","TRADD",0,0,0,0
"670","ACTR3",1,0,0,1
"671","EIF4G1",0,0,1,0
"672","COMMD7",0,0,0,0
"673","EML4",0,0,0,1
"674","HSPB1",0,0,0,0
"675","PSMB8",0,0,0,1
"676","GNAQ",0,0,0,1
"677","RAB7B",0,0,0,0
"678","XRCC6",0,0,0,1
"679","H2AFZ",1,0,0,1
"680","EEFSEC",0,0,0,0
"681","SPARC",1,1,1,1
"682","WDR37",0,0,0,0
"683","FAM129B",0,0,0,0
"684","COL12A1",1,0,1,1
"685","MPDU1",0,0,0,0
"686","STRADB",0,0,0,0
"687","AC006386.1",0,0,0,0
"688","YWHAB",0,0,0,1
"689","TP53INP1",0,0,0,0
"690","RPL36A",1,0,0,0
"691","NBPF26",0,0,0,1
"692","METTL21A",0,0,0,0
"693","COMMD3",0,0,0,1
"694","WDR74",0,0,0,1
"695","CROCC",0,0,0,0
"696","PTPRS",0,0,0,1
"697","PDPN",0,0,1,1
"698","ARHGEF12",0,0,0,1
"699","BPTF",0,0,0,0
"700","PPCS",0,0,0,1
"701","SLC12A9",0,0,0,0
"702","EPB41L5",0,0,0,1
"703","NDUFB4",0,0,0,1
"704","GIPC1",0,0,0,1
"705","DNAJB2",0,0,0,0
"706","CARS2",0,0,0,1
"707","VOPP1",0,0,0,0
"708","TTC8",0,0,0,1
"709","SS18",0,0,0,1
"710","ZEB1",0,0,0,0
"711","PRCP",0,0,0,1
"712","FAM109A",0,0,0,0
"713","CNIH1",0,0,0,1
"714","TRAPPC12",0,0,0,1
"715","FAM86C1",0,0,0,0
"716","EIF6",0,0,0,0
"717","AKAP1",0,0,0,1
"718","RNF145",0,0,0,0
"719","RPL30",0,0,1,1
"720","CPNE1",0,0,0,0
"721","RBM38",0,0,0,1
"722","PCOLCE",0,0,0,1
